pkgname,pkgbase,repo,arch,pkgver,pkgrel,epoch,pkgdesc,url,filename,compressed_size,installed_size,build_date,last_update,flag_date,packager
"aalib","aalib","extra","x86_64","1.4rc5","18","0","ASCII art graphic library","https://aa-project.sourceforge.net/aalib/","aalib-1.4rc5-18-x86_64.pkg.tar.zst","137441","286594","2024-04-16T17:15:35Z","2024-04-16T17:20:53.529Z","null","bgyorgy"
"aarch64-linux-gnu-binutils","aarch64-linux-gnu-binutils","extra","x86_64","2.43","1","0","A set of programs to assemble and manipulate binary and object files for the ARM64 target","https://www.gnu.org/software/binutils/","aarch64-linux-gnu-binutils-2.43-1-x86_64.pkg.tar.zst","5556127","41882901","2024-11-16T23:30:28Z","2024-11-16T23:53:38.485Z","null","anatolik"
"aarch64-linux-gnu-gcc","aarch64-linux-gnu-gcc","extra","x86_64","14.1.0","1","0","The GNU Compiler Collection - cross compiler for ARM64 target","https://gcc.gnu.org/","aarch64-linux-gnu-gcc-14.1.0-1-x86_64.pkg.tar.zst","81285551","370298539","2024-05-11T18:25:10Z","2024-05-11T21:45:40.382Z","2024-08-15T17:58:02.354Z","anatolik"
"aarch64-linux-gnu-gdb","aarch64-linux-gnu-gdb","extra","x86_64","14.2","2","0","The GNU Debugger for the ARM64 target","https://www.gnu.org/software/gdb/","aarch64-linux-gnu-gdb-14.2-2-x86_64.pkg.tar.zst","3922872","10797822","2024-04-05T11:28:34Z","2024-04-27T09:57:46.550Z","null","arojas"
"aarch64-linux-gnu-glibc","aarch64-linux-gnu-glibc","extra","any","2.39","1","0","GNU C Library ARM64 target","https://www.gnu.org/software/libc/","aarch64-linux-gnu-glibc-2.39-1-any.pkg.tar.zst","3602428","34569634","2024-03-09T03:49:31Z","2024-03-09T04:01:32.607Z","2024-08-15T17:53:51.908Z","anatolik"
"aarch64-linux-gnu-linux-api-headers","aarch64-linux-gnu-linux-api-headers","extra","any","6.7","1","0","Kernel headers sanitized for use in userspace (aarch64-linux-gnu)","https://www.kernel.org","aarch64-linux-gnu-linux-api-headers-6.7-1-any.pkg.tar.zst","1392963","6281538","2024-03-09T03:10:05Z","2024-03-09T03:17:04.239Z","2024-08-15T17:36:08.538Z","anatolik"
"aardvark-dns","aardvark-dns","extra","x86_64","1.13.1","1","0","Authoritative dns server for A/AAAA container records","https://github.com/containers/aardvark-dns","aardvark-dns-1.13.1-1-x86_64.pkg.tar.zst","917419","2832206","2024-11-08T10:19:03Z","2024-11-08T10:22:52.554Z","null","dvzrv"
"abc","abc","extra","x86_64","0.0.0.20221019","2","0","System for Sequential Logic Synthesis and Formal Verification","https://github.com/berkeley-abc/abc","abc-0.0.0.20221019-2-x86_64.pkg.tar.zst","6023122","15723289","2024-07-11T21:51:20Z","2024-07-11T21:54:43.917Z","null","blakkheim"
"abduco","abduco","extra","x86_64","0.6","7","0","Tool for session {at,de}tach support which allows a process to run independently from its controlling terminal","http://www.brain-dump.org/projects/abduco/","abduco-0.6-7-x86_64.pkg.tar.zst","13786","37480","2024-03-17T21:36:15Z","2024-03-18T07:30:09.785Z","null","eworm"
"abiword","abiword","extra","x86_64","3.0.6","1","0","Fully-featured word processor","https://gitlab.gnome.org/World/AbiWord","abiword-3.0.6-1-x86_64.pkg.tar.zst","5061154","22850695","2024-11-07T18:08:39Z","2024-11-07T18:19:36.083Z","null","bgyorgy"
"abletonlink","abletonlink","extra","any","3.1.2","1","0","Synchronizes musical beat, tempo, and phase across multiple applications","https://github.com/ableton/link","abletonlink-3.1.2-1-any.pkg.tar.zst","225421","616001","2024-07-04T13:59:27Z","2024-07-04T14:02:10.956Z","null","dvzrv"
"abseil-cpp","abseil-cpp","extra","x86_64","20240722.0","1","0","Collection of C++ library code designed to augment the C++ standard library","https://abseil.io","abseil-cpp-20240722.0-1-x86_64.pkg.tar.zst","1254020","6817118","2024-08-04T20:15:10Z","2024-08-07T02:51:34.220Z","null","gromit"
"abuild","abuild","extra","x86_64","3.14.1","1","0","Alpine build tools","https://git.alpinelinux.org/abuild","abuild-3.14.1-1-x86_64.pkg.tar.zst","100194","426426","2024-10-22T17:21:34Z","2024-10-22T17:24:04.664Z","null","Antiz"
"accerciser","accerciser","extra","any","3.44.1","1","0","Interactive Python accessibility explorer for the GNOME desktop","https://wiki.gnome.org/Apps/Accerciser","accerciser-3.44.1-1-any.pkg.tar.zst","954631","3975284","2024-08-24T18:40:19Z","2024-08-24T18:48:13.717Z","null","heftig"
"accessibility-inspector","accessibility-inspector","extra","x86_64","24.08.3","1","0","Inspect your application accessibility tree","https://apps.kde.org/accessibilityinspector/","accessibility-inspector-24.08.3-1-x86_64.pkg.tar.zst","115854","493945","2024-11-05T13:43:29Z","2024-11-07T13:57:09.949Z","null","arojas"
"accounts-qml-module","accounts-qml-module","extra","x86_64","0.7","6","0","Expose the Online Accounts API to QML applications","https://gitlab.com/accounts-sso/accounts-qml-module","accounts-qml-module-0.7-6-x86_64.pkg.tar.zst","74435","263500","2024-02-21T22:48:43Z","2024-03-06T15:02:08.369Z","null","arojas"
"accountsservice","accountsservice","extra","x86_64","23.13.9","2","0","D-Bus interface for user account query and manipulation","https://gitlab.freedesktop.org/accountsservice/accountsservice","accountsservice-23.13.9-2-x86_64.pkg.tar.zst","168366","1011991","2024-04-19T21:17:35Z","2024-04-19T21:28:14.147Z","null","heftig"
"ack","ack","extra","any","3.7.0","4","0","A Perl-based grep replacement, aimed at programmers with large trees of heterogeneous source code","http://betterthangrep.com/","ack-3.7.0-4-any.pkg.tar.zst","64448","185082","2024-09-01T11:42:17Z","2024-09-04T19:34:19.625Z","null","arojas"
"acl","acl","core","x86_64","2.3.2","1","0","Access control list utilities, libraries and headers","https://savannah.nongnu.org/projects/acl","acl-2.3.2-1-x86_64.pkg.tar.zst","141091","337902","2024-01-24T08:57:20Z","2024-01-25T11:56:40.543Z","null","eworm"
"acme-redirect","acme-redirect","extra","x86_64","0.7.0","1","0","Tiny http daemon that answers acme challenges and redirects everything else to https","https://github.com/kpcyrd/acme-redirect","acme-redirect-0.7.0-1-x86_64.pkg.tar.zst","3103346","9726383","2024-10-05T13:02:43Z","2024-10-05T13:05:29.880Z","null","kpcyrd"
"acme-tiny","acme-tiny","extra","any","5.0.1","2","0","A tiny script to issue and renew TLS certs from Let's Encrypt","https://github.com/diafygi/acme-tiny","acme-tiny-5.0.1-2-any.pkg.tar.zst","7148","12881","2024-07-11T21:56:49Z","2024-07-11T21:59:21.921Z","null","blakkheim"
"acme-user","acme-user","extra","any","1.0.1","2","0","acme-tiny systemd files for running as dedicated user instead of root.","https://github.com/ArchangeGabriel/acme-user","acme-user-1.0.1-2-any.pkg.tar.zst","3983","2645","2024-07-11T21:57:37Z","2024-07-11T21:59:22.371Z","null","blakkheim"
"acme","acme","extra","x86_64","2023.03.05","2","0","Assembler for the 6502, 6510, 65c02 and 65816 processors","https://sourceforge.net/projects/acme-crossass/","acme-2023.03.05-2-x86_64.pkg.tar.zst","87988","273029","2024-07-11T21:53:54Z","2024-07-11T21:56:38.052Z","null","blakkheim"
"acme.sh","acme.sh","extra","any","3.0.9","1","0","An ACME Shell script, an acme client alternative to certbot","https://github.com/acmesh-official/acme.sh","acme.sh-3.0.9-1-any.pkg.tar.zst","223378","1318309","2024-10-16T12:26:08Z","2024-10-16T12:29:41.876Z","null","felixonmars"
"acorn","acorn","extra","any","8.11.0","1","1","A tiny, fast JavaScript parser, written completely in JavaScript.","https://github.com/acornjs/acorn","acorn-1:8.11.0-1-any.pkg.tar.zst","78938","530360","2024-01-16T19:44:15Z","2024-01-16T19:46:18.412Z","null","felixonmars"
"acpi","acpi","extra","x86_64","1.7","4","0","Client for battery, power, and thermal readings","https://sourceforge.net/projects/acpiclient/files/acpiclient/","acpi-1.7-4-x86_64.pkg.tar.zst","10463","24369","2024-07-11T21:58:25Z","2024-07-11T22:01:22.971Z","null","blakkheim"
"acpi_call-dkms","acpi_call-dkms","extra","any","1.2.2","2","0","A linux kernel module that enables calls to ACPI methods through /proc/acpi/call - module sources","https://github.com/nix-community/acpi_call","acpi_call-dkms-1.2.2-2-any.pkg.tar.zst","12433","31744","2024-03-17T21:40:57Z","2024-03-18T07:30:08.186Z","null","eworm"
"acpi_call-lts","acpi_call-lts","extra","x86_64","1.2.2","226","0","A linux kernel module that enables calls to ACPI methods through /proc/acpi/call","https://github.com/mkottman/acpi_call","acpi_call-lts-1.2.2-226-x86_64.pkg.tar.zst","13938","22421","2024-11-17T16:53:43Z","2024-11-18T07:22:38.193Z","null","andyrtr"
"acpi_call","acpi_call","extra","x86_64","1.2.2","242","0","A linux kernel module that enables calls to ACPI methods through /proc/acpi/call","https://github.com/nix-community/acpi_call","acpi_call-1.2.2-242-x86_64.pkg.tar.zst","14108","22572","2024-11-15T15:53:52Z","2024-11-15T17:30:48.591Z","null","heftig"
"acpica","acpica","extra","x86_64","20240321","1","0","ACPI tools, including Intel ACPI Source Language compiler","https://acpica.org","acpica-20240321-1-x86_64.pkg.tar.zst","733195","2158984","2024-03-31T00:22:33Z","2024-03-31T00:25:08.853Z","2024-09-04T20:29:55.659Z","arojas"
"acpid","acpid","extra","x86_64","2.0.34","2","0","A daemon for delivering ACPI power management events with netlink support","https://sourceforge.net/projects/acpid2/","acpid-2.0.34-2-x86_64.pkg.tar.zst","49764","139777","2024-07-04T14:45:58Z","2024-07-04T14:49:56.542Z","null","Antiz"
"acpilight","acpilight","extra","any","1.2","3","0","a backward-compatible xbacklight replacement based on ACPI","https://gitlab.com/wavexx/acpilight","acpilight-1.2-3-any.pkg.tar.zst","8746","13349","2024-07-11T21:59:34Z","2024-07-11T22:01:22.020Z","null","blakkheim"
"acsccid","acsccid","extra","x86_64","1.1.11","1","0","PC/SC driver that supports ACS CCID smart card readers.","http://acsccid.sourceforge.net/","acsccid-1.1.11-1-x86_64.pkg.tar.zst","65081","144187","2024-03-31T00:16:32Z","2024-03-31T00:18:34.989Z","null","arojas"
"act","act","extra","x86_64","0.2.69","1","0","Run your GitHub Actions locally","https://github.com/nektos/act","act-0.2.69-1-x86_64.pkg.tar.zst","6171719","19362065","2024-11-01T08:19:58Z","2024-11-01T08:27:54.279Z","null","orhun"
"actionlint","actionlint","extra","x86_64","1.7.4","1","0","Static checker for GitHub Actions workflow files","https://github.com/rhysd/actionlint","actionlint-1.7.4-1-x86_64.pkg.tar.zst","1752942","5550943","2024-11-04T17:44:29Z","2024-11-04T17:46:30.077Z","null","Antiz"
"activity-log-manager","activity-log-manager","extra","x86_64","0.9.7","10","0","A graphical user interface which lets you easily control what gets logged by Zeitgeist","https://launchpad.net/activity-log-manager","activity-log-manager-0.9.7-10-x86_64.pkg.tar.zst","82348","273207","2024-09-06T18:41:58Z","2024-09-06T18:45:08.194Z","null","arojas"
"ada","ada","extra","x86_64","2.9.0","2","0","WHATWG-compliant and fast URL parser written in modern C++","https://github.com/ada-url/ada","ada-2.9.0-2-x86_64.pkg.tar.zst","242560","917100","2024-08-03T07:18:56Z","2024-08-03T07:20:51.755Z","null","svenstaro"
"adapta-gtk-theme","adapta-gtk-theme","extra","any","3.95.0.11","3","0","An adaptive Gtk+ theme based on Material Design Guidelines","https://github.com/adapta-project/adapta-gtk-theme","adapta-gtk-theme-3.95.0.11-3-any.pkg.tar.zst","713131","18066369","2024-07-11T22:00:44Z","2024-07-11T22:03:51.134Z","null","blakkheim"
"add-determinism","add-determinism","extra","x86_64","0.4.2","1","0","Build postprocessor to reset metadata fields for build reproducibility","https://github.com/keszybz/add-determinism","add-determinism-0.4.2-1-x86_64.pkg.tar.zst","702722","1948344","2024-10-18T12:30:36Z","2024-10-18T12:40:26.256Z","null","kpcyrd"
"adguardhome","adguardhome","extra","x86_64","0.107.54","1","1","Network-wide ads and trackers blocking DNS server","https://github.com/AdguardTeam/AdGuardHome","adguardhome-1:0.107.54-1-x86_64.pkg.tar.zst","7590232","31149652","2024-11-06T22:03:34Z","2024-11-06T22:15:01.267Z","null","anonfunc"
"adios2","adios2","extra","x86_64","2.10.2","4","0","The Adaptable Input/Output System version 2","https://adios2.readthedocs.io/en/latest/","adios2-2.10.2-4-x86_64.pkg.tar.zst","8101989","103952477","2024-11-17T16:19:37Z","2024-11-17T21:22:43.863Z","null","Lahwaacz"
"adljack","adljack","extra","x86_64","1.3.1","2","0","A standalone synthesizer for ADLMIDI and OPNMIDI on the text console","https://github.com/jpcima/adljack","adljack-1.3.1-2-x86_64.pkg.tar.zst","484156","2697356","2024-02-20T19:17:14Z","2024-02-24T16:18:00.350Z","null","dvzrv"
"adlplug-lv2","adlplug","extra","x86_64","1.0.2","12","0","FM synthesizer for ADLMIDI with OPL3 chip emulation - LV2 plugin","https://github.com/jpcima/ADLplug","adlplug-lv2-1.0.2-12-x86_64.pkg.tar.zst","1839727","3502384","2024-09-07T14:15:35Z","2024-09-12T17:07:15.089Z","null","carsme"
"adlplug-standalone","adlplug","extra","x86_64","1.0.2","12","0","FM synthesizer for ADLMIDI with OPL3 chip emulation - JACK standalone","https://github.com/jpcima/ADLplug","adlplug-standalone-1.0.2-12-x86_64.pkg.tar.zst","1826484","3441063","2024-09-07T14:15:35Z","2024-09-12T17:07:15.528Z","null","carsme"
"adlplug-vst","adlplug","extra","x86_64","1.0.2","12","0","FM synthesizer for ADLMIDI with OPL3 chip emulation - VST plugin","https://github.com/jpcima/ADLplug","adlplug-vst-1.0.2-12-x86_64.pkg.tar.zst","1825498","3446000","2024-09-07T14:15:35Z","2024-09-12T17:07:15.969Z","null","carsme"
"adlplug","adlplug","extra","x86_64","1.0.2","12","0","FM synthesizer for ADLMIDI with OPL3 chip emulation","https://github.com/jpcima/ADLplug","adlplug-1.0.2-12-x86_64.pkg.tar.zst","2500","0","2024-09-07T14:15:35Z","2024-09-12T17:07:14.749Z","null","carsme"
"adns","adns","extra","x86_64","1.6.1","1","0","An asyncronous replacement resolver library","https://www.chiark.greenend.org.uk/~ian/adns/","adns-1.6.1-1-x86_64.pkg.tar.zst","84240","242319","2024-08-14T18:25:44Z","2024-08-14T18:28:27.083Z","null","felixonmars"
"adobe-source-code-pro-fonts","adobe-source-code-pro-fonts","extra","any","2.042u+1.062i+1.026vf","2","0","Monospaced font family for user interface and coding environments","https://adobe-fonts.github.io/source-code-pro/","adobe-source-code-pro-fonts-2.042u+1.062i+1.026vf-2-any.pkg.tar.zst","956852","1954942","2024-07-03T22:04:43Z","2024-07-03T22:11:29.420Z","null","heftig"
"adobe-source-han-sans-cn-fonts","adobe-source-han-sans-fonts","extra","any","2.004","2","0","Adobe Source Han Sans Subset OTF - Simplified Chinese OpenType/CFF fonts","https://github.com/adobe-fonts/source-han-sans","adobe-source-han-sans-cn-fonts-2.004-2-any.pkg.tar.zst","43649961","58283010","2024-02-12T18:40:04Z","2024-02-12T18:57:52.920Z","null","felixonmars"
"adobe-source-han-sans-hk-fonts","adobe-source-han-sans-fonts","extra","any","2.004","2","0","Adobe Source Han Sans Subset OTF - Traditional Chinese (Hong Kong) OpenType/CFF fonts","https://github.com/adobe-fonts/source-han-sans","adobe-source-han-sans-hk-fonts-2.004-2-any.pkg.tar.zst","30075569","39893025","2024-02-12T18:40:04Z","2024-02-12T18:57:53.423Z","null","felixonmars"
"adobe-source-han-sans-jp-fonts","adobe-source-han-sans-fonts","extra","any","2.004","2","0","Adobe Source Han Sans Subset OTF - Japanese OpenType/CFF fonts","https://github.com/adobe-fonts/source-han-sans","adobe-source-han-sans-jp-fonts-2.004-2-any.pkg.tar.zst","24048829","31879869","2024-02-12T18:40:04Z","2024-02-12T18:57:53.864Z","null","felixonmars"
"adobe-source-han-sans-kr-fonts","adobe-source-han-sans-fonts","extra","any","2.004","2","0","Adobe Source Han Sans Subset OTF - Korean OpenType/CFF fonts","https://github.com/adobe-fonts/source-han-sans","adobe-source-han-sans-kr-fonts-2.004-2-any.pkg.tar.zst","23007509","32706197","2024-02-12T18:40:04Z","2024-02-12T18:57:54.301Z","null","felixonmars"
"adobe-source-han-sans-otc-fonts","adobe-source-han-sans-fonts","extra","any","2.004","2","0","Adobe Source Han Sans - Pan-CJK OpenType/CFF Collection fonts","https://github.com/adobe-fonts/source-han-sans","adobe-source-han-sans-otc-fonts-2.004-2-any.pkg.tar.zst","80832809","117250535","2024-02-12T18:40:04Z","2024-02-12T18:57:54.746Z","null","felixonmars"
"adobe-source-han-sans-tw-fonts","adobe-source-han-sans-fonts","extra","any","2.004","2","0","Adobe Source Han Sans Subset OTF - Traditional Chinese (Taiwan) OpenType/CFF fonts","https://github.com/adobe-fonts/source-han-sans","adobe-source-han-sans-tw-fonts-2.004-2-any.pkg.tar.zst","29977396","39851477","2024-02-12T18:40:04Z","2024-02-12T18:57:55.188Z","null","felixonmars"
"adobe-source-han-serif-cn-fonts","adobe-source-han-serif-fonts","extra","any","2.003","1","0","Adobe Source Han Serif Subset OTF - Simplified Chinese OpenType/CFF fonts","https://github.com/adobe-fonts/source-han-serif","adobe-source-han-serif-cn-fonts-2.003-1-any.pkg.tar.zst","59650465","81035059","2024-08-02T02:37:01Z","2024-08-02T21:31:01.182Z","null","polyzen"
"adobe-source-han-serif-hk-fonts","adobe-source-han-serif-fonts","extra","any","2.003","1","0","Adobe Source Han Serif Subset OTF - Traditional Chinese (Hong Kong) OpenType/CFF fonts","https://github.com/adobe-fonts/source-han-serif","adobe-source-han-serif-hk-fonts-2.003-1-any.pkg.tar.zst","40967983","55258502","2024-08-02T02:37:01Z","2024-08-02T21:31:01.657Z","null","polyzen"
"adobe-source-han-serif-jp-fonts","adobe-source-han-serif-fonts","extra","any","2.003","1","0","Adobe Source Han Serif Subset OTF - Japanese OpenType/CFF fonts","https://github.com/adobe-fonts/source-han-serif","adobe-source-han-serif-jp-fonts-2.003-1-any.pkg.tar.zst","31777269","43459518","2024-08-02T02:37:01Z","2024-08-02T21:31:02.086Z","null","polyzen"
"adobe-source-han-serif-kr-fonts","adobe-source-han-serif-fonts","extra","any","2.003","1","0","Adobe Source Han Serif Subset OTF - Korean OpenType/CFF fonts","https://github.com/adobe-fonts/source-han-serif","adobe-source-han-serif-kr-fonts-2.003-1-any.pkg.tar.zst","32925277","51588414","2024-08-02T02:37:01Z","2024-08-02T21:31:02.511Z","null","polyzen"
"adobe-source-han-serif-otc-fonts","adobe-source-han-serif-fonts","extra","any","2.003","1","0","Adobe Source Han Serif - Pan-CJK OpenType/CFF Collection fonts","https://github.com/adobe-fonts/source-han-serif","adobe-source-han-serif-otc-fonts-2.003-1-any.pkg.tar.zst","117259959","182652793","2024-08-02T02:37:01Z","2024-08-02T21:31:02.951Z","null","polyzen"
"adobe-source-han-serif-tw-fonts","adobe-source-han-serif-fonts","extra","any","2.003","1","0","Adobe Source Han Serif Subset OTF - Traditional Chinese (Taiwan) OpenType/CFF fonts","https://github.com/adobe-fonts/source-han-serif","adobe-source-han-serif-tw-fonts-2.003-1-any.pkg.tar.zst","41079602","55392962","2024-08-02T02:37:01Z","2024-08-02T21:31:03.383Z","null","polyzen"
"adobe-source-sans-fonts","adobe-source-sans-fonts","extra","any","3.052","2","0","Sans-serif font family for user interface environments","https://adobe-fonts.github.io/source-sans/","adobe-source-sans-fonts-3.052-2-any.pkg.tar.zst","2849869","8568187","2024-07-03T22:08:24Z","2024-07-03T22:11:29.853Z","null","heftig"
"adobe-source-serif-fonts","adobe-source-serif-fonts","extra","any","4.005","2","0","Serif typeface designed to complement Source Sans","https://adobe-fonts.github.io/source-serif/","adobe-source-serif-fonts-4.005-2-any.pkg.tar.zst","6648794","19233164","2024-07-03T22:07:13Z","2024-07-03T22:11:30.289Z","null","heftig"
"adriconf","adriconf","extra","x86_64","2.7.2","1","0","GUI tool to configure Mesa drivers by setting options and writing them to the standard drirc file","https://gitlab.freedesktop.org/mesa/adriconf","adriconf-2.7.2-1-x86_64.pkg.tar.zst","181197","437738","2024-06-08T00:05:54Z","2024-06-08T00:08:22.794Z","null","dbermond"
"adsb_deku","adsb_deku","extra","x86_64","2024.09.02","1","0","TUI radar application","https://github.com/rsadsb/adsb_deku","adsb_deku-2024.09.02-1-x86_64.pkg.tar.zst","1233137","4195697","2024-09-29T20:10:18Z","2024-09-29T20:13:51.496Z","null","orhun"
"adw-gtk-theme","adw-gtk-theme","extra","any","5.5","1","0","Unofficial GTK 3 port of the libadwaita theme","https://github.com/lassekongo83/adw-gtk3","adw-gtk-theme-5.5-1-any.pkg.tar.zst","106249","2054372","2024-10-11T12:14:59Z","2024-10-28T17:54:22.627Z","null","alucryd"
"adwaita-cursors","adwaita-icon-theme","extra","any","47.0","1","0","GNOME standard cursors","https://gitlab.gnome.org/GNOME/adwaita-icon-theme","adwaita-cursors-47.0-1-any.pkg.tar.zst","314227","10504352","2024-09-16T21:45:41Z","2024-09-19T08:25:40.597Z","null","heftig"
"adwaita-icon-theme-legacy","adwaita-icon-theme-legacy","extra","any","46.2","3","0","GNOME fallback icons for legacy apps","https://gitlab.gnome.org/GNOME/adwaita-icon-theme-legacy","adwaita-icon-theme-legacy-46.2-3-any.pkg.tar.zst","2275676","2339026","2024-09-18T14:33:43Z","2024-09-18T14:37:40.366Z","null","bgyorgy"
"adwaita-icon-theme","adwaita-icon-theme","extra","any","47.0","1","0","GNOME standard icons","https://gitlab.gnome.org/GNOME/adwaita-icon-theme","adwaita-icon-theme-47.0-1-any.pkg.tar.zst","205989","1231816","2024-09-16T21:45:41Z","2024-09-19T08:25:41.075Z","null","heftig"
"aegisub","aegisub","extra","x86_64","3.3.3","10","0","A general-purpose subtitle editor with ASS/SSA support","http://www.aegisub.org","aegisub-3.3.3-10-x86_64.pkg.tar.zst","3160783","10206672","2024-08-29T20:55:04Z","2024-09-02T16:01:07.381Z","null","blakkheim"
"aeolus","aeolus","extra","x86_64","0.10.4","3","0","Synthesised pipe organ emulator","https://kokkinizita.linuxaudio.org/linuxaudio/aeolus/","aeolus-0.10.4-3-x86_64.pkg.tar.zst","117519","900906","2024-07-04T01:21:14Z","2024-07-04T01:24:25.962Z","null","ainola"
"aerc","aerc","extra","x86_64","0.18.2","1","0","Email Client for your Terminal","https://git.sr.ht/~rjarry/aerc","aerc-0.18.2-1-x86_64.pkg.tar.zst","5242306","15702185","2024-07-30T07:31:19Z","2024-08-03T14:45:55.862Z","null","carsme"
"afew","afew","extra","any","3.0.1","7","0","Initial tagging script for notmuch mail","https://github.com/afewmail/afew","afew-3.0.1-7-any.pkg.tar.zst","76296","305361","2024-04-05T22:38:17Z","2024-04-27T09:55:49.277Z","null","polyzen"
"afl++","afl++","extra","x86_64","4.21c","1","0","instrumentation-driven fuzzer for binary format","https://aflplus.plus/","afl++-4.21c-1-x86_64.pkg.tar.zst","689219","2759267","2024-07-01T20:09:02Z","2024-07-05T19:16:36.110Z","2024-10-14T02:41:59.442Z","anthraxx"
"afl-utils","afl-utils","extra","any","1.35a","3","0","Utilities for automated crash sample processing/analysis, easy afl-fuzz job management and corpus optimization","https://gitlab.com/rc0r/afl-utils","afl-utils-1.35a-3-any.pkg.tar.zst","80022","421149","2024-04-04T14:56:13Z","2024-04-27T09:55:49.722Z","null","jelle"
"afpfs-ng","afpfs-ng","extra","x86_64","0.8.2","4","0","A client for the Apple Filing Protocol (AFP)","http://alexthepuffin.googlepages.com/","afpfs-ng-0.8.2-4-x86_64.pkg.tar.zst","93947","276588","2024-09-06T18:48:20Z","2024-09-06T18:51:03.779Z","null","arojas"
"agda-stdlib","agda-stdlib","extra","x86_64","1.7.3","3","0","Agda standard libraries","https://github.com/agda/agda-stdlib","agda-stdlib-1.7.3-3-x86_64.pkg.tar.zst","118950795","152383697","2024-08-08T19:25:40Z","2024-08-08T19:33:15.821Z","2023-12-12T17:05:02.292Z","felixonmars"
"agda","agda","extra","x86_64","2.6.4.1","12","0","A dependently typed functional programming language and proof assistant","https://wiki.portal.chalmers.se/agda/","agda-2.6.4.1-12-x86_64.pkg.tar.zst","22264510","215552577","2024-10-23T13:08:03Z","2024-10-23T17:13:34.731Z","2024-09-28T19:19:42.503Z","felixonmars"
"age-plugin-tkey","age-plugin-tkey","extra","x86_64","0.0.5","2","0","Tillitis TKey plugin for age","https://github.com/quite/age-plugin-tkey","age-plugin-tkey-0.0.5-2-x86_64.pkg.tar.zst","1000364","2462540","2024-09-26T22:40:30Z","2024-09-26T22:42:16.991Z","null","alerque"
"age-plugin-tpm","age-plugin-tpm","extra","x86_64","0.2.0","3","0","TPM plugin for age","https://github.com/Foxboron/age-plugin-tpm","age-plugin-tpm-0.2.0-3-x86_64.pkg.tar.zst","2061949","6257617","2023-12-17T20:11:44Z","2023-12-17T20:14:03.408Z","null","Foxboron"
"age-plugin-yubikey","age-plugin-yubikey","extra","x86_64","0.5.0","1","0","Yubikey plugin for age","https://github.com/str4d/age-plugin-yubikey","age-plugin-yubikey-0.5.0-1-x86_64.pkg.tar.zst","1208395","3936013","2024-08-04T07:56:57Z","2024-08-04T07:59:35.254Z","null","alerque"
